date,memory_usage_in_kB
2022-05-14 23:43:01+02:00, 608524
2022-05-14 23:44:01+02:00, 611524
2022-05-14 23:45:01+02:00, 612632
2022-05-14 23:46:01+02:00, 613068
2022-05-14 23:47:01+02:00, 615304
2022-05-14 23:48:01+02:00, 622656
2022-05-14 23:49:01+02:00, 622872
2022-05-14 23:50:01+02:00, 623620
2022-05-14 23:51:01+02:00, 625768
2022-05-14 23:52:01+02:00, 628140
2022-05-14 23:53:01+02:00, 630524
2022-05-14 23:54:01+02:00, 633372
2022-05-14 23:55:01+02:00, 635492
2022-05-14 23:56:01+02:00, 637812
2022-05-14 23:57:01+02:00, 640476
2022-05-14 23:58:01+02:00, 642940
2022-05-14 23:59:01+02:00, 645676
2022-05-15 00:00:01+02:00, 647788
2022-05-15 00:01:01+02:00, 648604
2022-05-15 00:02:01+02:00, 648624
2022-05-15 00:03:01+02:00, 648596
2022-05-15 00:04:01+02:00, 648584
2022-05-15 00:05:01+02:00, 648604
2022-05-15 00:06:01+02:00, 648628
2022-05-15 00:07:01+02:00, 648648
2022-05-15 00:08:01+02:00, 648588
2022-05-15 00:09:01+02:00, 648620
2022-05-15 00:10:01+02:00, 648624
2022-05-15 00:11:01+02:00, 648640
2022-05-15 00:12:01+02:00, 648592
2022-05-15 00:13:01+02:00, 648608
2022-05-15 00:14:01+02:00, 648628
2022-05-15 00:15:01+02:00, 648648
2022-05-15 00:16:01+02:00, 648584
2022-05-15 00:17:01+02:00, 648604
2022-05-15 00:18:01+02:00, 648612
2022-05-15 00:19:01+02:00, 648632
2022-05-15 00:20:01+02:00, 648652
2022-05-15 00:21:01+02:00, 648656
2022-05-15 00:22:01+02:00, 648676
2022-05-15 00:23:01+02:00, 648720
2022-05-15 00:24:01+02:00, 648728
2022-05-15 00:25:01+02:00, 648684
2022-05-15 00:26:01+02:00, 648704
2022-05-15 00:27:01+02:00, 648724
2022-05-15 00:28:01+02:00, 648676
2022-05-15 00:29:01+02:00, 648660
2022-05-15 00:30:01+02:00, 648680
2022-05-15 00:31:01+02:00, 648696
2022-05-15 00:32:01+02:00, 648716
2022-05-15 00:33:01+02:00, 648660
2022-05-15 00:34:01+02:00, 648692
2022-05-15 00:35:01+02:00, 648668
2022-05-15 00:36:01+02:00, 648680
2022-05-15 00:37:01+02:00, 648700
2022-05-15 00:38:01+02:00, 648716
2022-05-15 00:39:01+02:00, 648668
2022-05-15 00:40:01+02:00, 648688
2022-05-15 00:41:01+02:00, 648704
2022-05-15 00:42:01+02:00, 648720
2022-05-15 00:43:01+02:00, 648672
2022-05-15 00:44:01+02:00, 648684
2022-05-15 00:45:01+02:00, 648700
2022-05-15 00:46:01+02:00, 648716
2022-05-15 00:47:01+02:00, 648668
2022-05-15 00:48:01+02:00, 648684
2022-05-15 00:49:01+02:00, 648720
2022-05-15 00:50:01+02:00, 648724
2022-05-15 00:51:01+02:00, 648664
2022-05-15 00:52:01+02:00, 648684
2022-05-15 00:53:01+02:00, 648700
2022-05-15 00:54:01+02:00, 648664
2022-05-15 00:55:01+02:00, 648680
2022-05-15 00:56:01+02:00, 648660
2022-05-15 00:57:01+02:00, 648684
2022-05-15 00:58:01+02:00, 648704
2022-05-15 00:59:01+02:00, 648720
2022-05-15 01:00:01+02:00, 648660
2022-05-15 01:01:01+02:00, 648680
2022-05-15 01:02:01+02:00, 648696
